Authors,Title,Year,Cited by,Link,Funding Details,Publication Stage
"Rovatsos M., Gromann D., Bella G.","The taboo challenge competition",2018,2,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051050867&doi=10.1609%2faimag.v39i1.2779&partnerID=40&md5=0299e0ca3f8e8251cdba8b9923ffd2c9","Seventh Framework Programme","Final"
"Bortolussi L., Sanguinetti G.","Learning and designing stochastic processes from logical constraints",2015,2,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84938367103&doi=10.2168%2fLMCS-11%282%3a3%292015&partnerID=40&md5=24b6e502ea3fda1229ad3f773a583bbb","Seventh Framework Programme","Final"
"Ruggiero C., Giacomini M., Rolfe P.","Qualitative modelling of the response of cytoskeletal actin filaments in endothelial cells subjected to shear stress",1999,2,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032866996&doi=10.1007%2fBF02513363&partnerID=40&md5=69e34754eea380e271477ce6c356ec29","European Commission","Final"
"Damioli G., Van Roy V., Vertesy D.","The impact of artificial intelligence on labor productivity",2021,1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099577119&doi=10.1007%2fs40821-020-00172-8&partnerID=40&md5=ece68f7305d22cc0355f7588a165a607","Horizon 2020 Framework Programme

European Commission","Final"
"Mkrtchyan G.V., Abdelmohsen K., Andreux P., Bagdonaite I., Barzilai N., Brunak S., Cabreiro F., Cabo R.D., Campisi J., Cuervo A.M., Demaria M., Ewald C.Y., Fang E.F., Faragher R., Ferrucci L., Freund A., Silva-García C.G., Georgievskaya A., Gladyshev V.N., Glass D.J., Gorbunova V., Grey A.D., He W.-W., Hoeijmakers J., Hoffmann E., Horvath S., Houtkooper R.H., Jensen M.K., Jensen M.B., Kane A., Kassem M., Keizer P.D., Kennedy B., Karsenty G., Lamming D.W., Lee K.-F., MacAulay N., Mamoshina P., Mellon J., Molenaars M., Moskalev A., Mund A., Niedernhofer L., Osborne B., Pak H.H., Parkhitko A., Raimundo N., Rando T.A., Rasmussen L.J., Reis C., Riedel C.G., Franco-Romero A., Schumacher B., Sinclair D.A., Suh Y., Taub P.R., Toiber D., Treebak J.T., Valenzano D.R., Verdin E., Vijg J., Young S., Zhang L., Bakula D., Zhavoronkov A., Scheibye-Knudsen M.","ARDD 2020: from aging mechanisms to interventions",2020,1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098933913&doi=10.18632%2faging.202454&partnerID=40&md5=bda9a7d6ef0e91a12114af806fd376ba","National Institutes of Health

National Institute on Aging

U.S. Department of Veterans Affairs

American Federation for Aging Research

Glenn Foundation for Medical Research

Progeria Research Foundation

Harvard Medical School

JPB Foundation

Uddannelses- og Forskningsministeriet

Kreftforeningen

Indiana Corn Marketing Council

Department of Pathology and Laboratory Medicine, School of Medicine and Public Health, University of Wisconsin-Madison

European Cooperation in Science and Technology

Deutsche Forschungsgemeinschaft

Københavns Universitet

National Natural Science Foundation of China

Lundbeckfonden

Vetenskapsrådet

Nordea-fonden

Norges Forskningsråd

Deutsche Krebshilfe

Helse Sør-Øst RHF

Novo Nordisk Fonden

Novo Nordisk Foundation Center for Basic Metabolic Research

Akershus Universitetssykehus

Centro de Investigação em Biomedicina","Final"
"Sanford T.H., Zhang L., Harmon S.A., Sackett J., Yang D., Roth H., Xu Z., Kesani D., Mehralivand S., Baroni R.H., Barrett T., Girometti R., Oto A., Purysko A.S., Xu S., Pinto P.A., Xu D., Wood B.J., Choyke P.L., Turkbey B.","Data Augmentation and Transfer Learning to Improve Generalizability of an Automated Prostate Segmentation Model",2020,1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096599851&doi=10.2214%2fAJR.19.22347&partnerID=40&md5=7448e11da4c999bca6093a432801f995","National Institutes of Health

National Cancer Institute","Final"
"Jamthikar A.D., Gupta D., Johri A.M., Mantella L.E., Saba L., Kolluri R., Sharma A.M., Viswanathan V., Nicolaides A., Suri J.S.","Low-Cost Office-Based Cardiovascular Risk Stratification Using Machine Learning and Focused Carotid Ultrasound in an Asian-Indian Cohort",2020,1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095851757&doi=10.1007%2fs10916-020-01675-7&partnerID=40&md5=8ee0d68528bb6bc3e34e13d020666c91","Division of Human Resource Development

Baylor College of Medicine

Ministry of Human Resource Development","Final"
"Vaccari I., Chiola G., Aiello M., Mongelli M., Cambiaso E.","Mqttset, a new dataset for machine learning techniques on mqtt",2020,1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096199496&doi=10.3390%2fs20226578&partnerID=40&md5=b3e35f23aa553c0f6781b3a1821b5428","Horizon 2020 Framework Programme","Final"
"Antona V., Scalia F., Giorgio E., Radio F.C., Brusco A., Oliveri M., Corsello G., Lo Celso F., Vadalà M., de Macario E.C., Macario A.J.L., Cappello F., Giuffrè M.","A novel cct5 missense variant associated with early onset motor neuropathy",2020,1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092901086&doi=10.3390%2fijms21207631&partnerID=40&md5=8ee806facf1cb04b452536caa0c0ac3a","National Institute of Mental Health

Ministero dell’Istruzione, dell’Università e della Ricerca

European Regional Development Fund","Final"
"Burigana A., Fabiano F., Dovier A., Pontelli E.","Modelling Multi-Agent Epistemic Planning in ASP",2020,1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092001717&doi=10.1017%2fS1471068420000289&partnerID=40&md5=0c18fe17df43b923a88b76d56bd793c7","National Science Foundation","Final"
"Wang G., Yang Y., Zhang T., Cheng J., Hou Z., Tiwari P., Pandey H.M.","Cross-modality paired-images generation and augmentation for RGB-infrared person re-identification",2020,1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085250499&doi=10.1016%2fj.neunet.2020.05.008&partnerID=40&md5=704e367135177941a6ab37c1f1a7aeb9","National Natural Science Foundation of China

Chinese Academy of Sciences

Natural Science Foundation of Beijing Municipality","Final"
"Lan H., Tong Y., Guo J., Seatzu C.","Verification of C-detectability using Petri nets",2020,1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083881368&doi=10.1016%2fj.ins.2020.04.024&partnerID=40&md5=15b7b5ef5b921c29aa46b0ecf91cf0d2","National Natural Science Foundation of China

Fundamental Research Funds for the Central Universities","Final"
"Iannino V., Mocci C., Vannocci M., Colla V., Caputo A., Ferraris F.","An event-driven agent-based simulation model for industrial processes",2020,1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087297759&doi=10.3390%2fapp10124343&partnerID=40&md5=ac2258d016a83095f4c75f3888cbfcef","European Commission

Regione Piemonte","Final"
"Gaidano V., Tenace V., Santoro N., Varvello S., Cignetti A., Prato G., Saglio G., De Rosa G., Geuna M.","A clinically applicable approach to the classification of B-cell non-hodgkin lymphomas with flow cytometry and machine learning",2020,1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086838763&doi=10.3390%2fcancers12061684&partnerID=40&md5=01a674e70dd87bee594e92937b7a016f","Division of Antarctic Infrastructure and Logistics","Final"
"Donati A.V., Krause J., Thiel C., White B., Hill N.","An ant colony algorithm for improving energy efficiency of road vehicles",2020,1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086381863&doi=10.3390%2fen13112850&partnerID=40&md5=b89ceb6d3f590b5fd24d64674f903613","European Commission

Horizon 2020","Final"
"Centenaro M., Tomasin S., Benvenuto N., Yang S.","Predictive Voice-Over-Internet Protocol Fallback over Vehicular Channels: Employing Artificial Intelligence at the Edge of 5G Networks",2020,1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083003788&doi=10.1109%2fMVT.2020.2979082&partnerID=40&md5=ee17673962ad4c2193f55f1aee5beff6","European Commission

Ministero dell’Istruzione, dell’Università e della Ricerca

Horizon 2020","Final"
"Willaert T., Van Eecke P., Beuls K., Steels L.","Building Social Media Observatories for Monitoring Online Opinion Dynamics",2020,1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085323585&doi=10.1177%2f2056305119898778&partnerID=40&md5=a356a9ff0573831add7c824f13583434","Horizon 2020 Framework Programme","Final"
"Sciaraffa N., Klados M.A., Borghini G., Di Flumeri G., Babiloni F., Aricò P.","Double-step machine learning based procedure for HFOs detection and classification",2020,1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084000978&doi=10.3390%2fbrainsci10040220&partnerID=40&md5=bd1a28cfcac90aad6347445677681ac8","European Commission","Final"
"Lio M.D., Dona R., Papini G.P.R., Gurney K.","Agent Architecture for Adaptive Behaviors in Autonomous Driving",2020,1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090972041&doi=10.1109%2fACCESS.2020.3007018&partnerID=40&md5=f06aa323b95cae29a0dabf10b7b7341d","European Commission","Final"
"Juventia S.D., Jones S.K., Laporte M.-A., Remans R., Villani C., Estrada-Carmona N.","Text mining national commitments towards agrobiodiversity conservation and use",2020,1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079634365&doi=10.3390%2fsu12020715&partnerID=40&md5=a72318cbdb1bf494945e180b111e43c5","European Commission","Final"
"Lippi M., Contissa G., Lonowska A.J., Lagioia F., Micklitz H.-W., Palka P., Sartor G., Torroni P.","The Force Awakens: Artificial intelligence for consumer law",2020,1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078941480&doi=10.1613%2fjair.1.11519&partnerID=40&md5=b5356fac81a5da303bd0c7fa39588055","Horizon 2020 Framework Programme

Fundacja na rzecz Nauki Polskiej","Final"
"Rossi E., Rubattino C., Viscusi G.","Big data use and challenges: Insights from two internet-mediated surveys",2019,1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073788692&doi=10.3390%2fcomputers8040073&partnerID=40&md5=d7655acb54905f5c4ab395a538f39dcb","Horizon 2020 Framework Programme","Final"
"Tamargo L.H., Martinez D.C., Rotolo A., Governatori G.","An axiomatic characterization of temporalised belief revision in the law",2019,1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059839300&doi=10.1007%2fs10506-019-09241-4&partnerID=40&md5=d0fc2e0a300f85e27f07f824f2f688a1","Horizon 2020 Framework Programme

European Metrology Programme for Innovation and Research","Final"
"Bonci A., Longhi S., Pirani M.","Prospective ISO 22400 for the challenges of human-centered manufacturing",2019,1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078950625&doi=10.1016%2fj.ifacol.2019.11.588&partnerID=40&md5=ffd86ae9442f20f339e3006c5f995c50","Horizon 2020 Framework Programme

H2020 European Research Council

Horizon 2020

European Regional Development Fund","Final"
"Brunello A., Jiménez F., Marzano E., Palma J., Sánchez G., Sciavicco G.","Towards semi-Automatic human performance evaluation: The case study of a contact center",2018,1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049651140&doi=10.3233%2fIDA-173586&partnerID=40&md5=9ae6b41b706d2953b069fee2045d87ce","European Regional Development Fund","Final"
"Marcati A., Prete M.I., Mileti A., Cortese M., Zodiatis G., Karaolia A., Gauci A., Drago A.","Analysis of the development and diffusion of technological innovations in oil spill forecasting: The MEDESS-4MS case",2016,1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84977494987&doi=10.1016%2fj.dsr2.2016.05.025&partnerID=40&md5=358af74d225034865cdb8bc1fc4dc552","Interreg

European Regional Development Fund","Final"
"Patro R., Norel R., Prill R.J., Saez-Rodriguez J., Lorenz P., Steinbeck F., Ziems B., Luštrek M., Barbarini N., Tiengo A., Bellazzi R., Thiesen H.-J., Stolovitzky G., Kingsford C.","A computational method for designing diverse linear epitopes including citrullinated peptides with desired binding affinities to intravenous immunoglobulin",2016,1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962828382&doi=10.1186%2fs12859-016-1008-7&partnerID=40&md5=f4caa57540a4a2f7297359f0a8f04bf1","National Science Foundation

National Human Genome Research Institute

National Institute of Allergy and Infectious Diseases

Seventh Framework Programme","Final"
"Rossi S., Leone E., Staffa M.","Using random forests for the estimation of multiple users’ visual focus of attention from head pose",2016,1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85006070965&doi=10.1007%2f978-3-319-49130-1_8&partnerID=40&md5=dce676eb644050529a57c66672ff96fd","FP7 Ideas: European Research Council","Final"
"Anghinolfi D., Cannata G., Mastrogiovanni F., Nattero C., Paolucci M.","Application and experimental validation of pheromone design in ant colony optimization: The problem of robot skin wiring",2014,1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84896347955&doi=10.1080%2f08839514.2014.883907&partnerID=40&md5=0d809bafe520805e05fd5fb747c6f661","Seventh Framework Programme

Seventh Framework Programme","Final"
"Patrizi F., Vassos S.","Action theories over generalized databases with equality constraints",2014,1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84921671692&doi=10.1007%2f978-3-319-11558-0_33&partnerID=40&md5=e5c516cde554917240d6a6868020b772","European Commission","Final"
"Pezzulo G., Baldassarre G., Cesta A., Nolfi S.","Research on cognitive robotics at the Institute of Cognitive Sciences and Technologies, National Research Council of Italy",2011,1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-81255142020&doi=10.1007%2fs10339-011-0402-3&partnerID=40&md5=9099ebb7cf28b85c4fd0176f7d5aafab","Seventh Framework Programme

Active and Assisted Living programme

European Commission

European Space Agency","Final"
"Brogi A., Subrahmanian V.S., Zaniolo C.","A deductive database approach to A.I. planning",2003,1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0038681987&doi=10.1023%2fA%3a1022808724136&partnerID=40&md5=68e1b3a551f8d0bd10bb85e0c68e9c9f","National Science Foundation

Army Research Office","Final"
"Keshtegar B., Ben Seghier M.E.A., Zio E., Correia J.A.F.O., Zhu S.-P., Trung N.-T.","Novel efficient method for structural reliability analysis using hybrid nonlinear conjugate map-based support vector regression",2021,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103961561&doi=10.1016%2fj.cma.2021.113818&partnerID=40&md5=461f889e800c3e01d7da426ee542a2c1","National Natural Science Foundation of China

Iran National Science Foundation

Guangzhou Science and Technology Program key projects

Fundamental Research Funds for the Central Universities

University of Zabol

Key Research and Development Program of Sichuan Province","Final"
"Amanatidis G., Birmpas G., Filos-Ratsikas A., Voudouris A.A.","Peeking behind the ordinal curtain: Improving distortion via cardinal queries",2021,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101816518&doi=10.1016%2fj.artint.2021.103488&partnerID=40&md5=76899efd04e6ffd371eb389f45132baf","European Research Council

Schweizerischer Nationalfonds zur Förderung der Wissenschaftlichen Forschung

Nederlandse Organisatie voor Wetenschappelijk Onderzoek

Ministero dell’Istruzione, dell’Università e della Ricerca","Final"
"Gellert A., Precup S.-A., Pirvu B.-C., Fiore U., Zamfirescu C.-B., Palmieri F.","An empirical evaluation of prediction by partial matching in assembly assistance systems",2021,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104262093&doi=10.3390%2fapp11073278&partnerID=40&md5=7100950c562f9288c8dffff67411d084","European Regional Development Fund","Final"
"Buccheri E., Dell'Aquila D., Russo M.","Artificial intelligence in health data analysis: The Darwinian evolution theory suggests an extremely simple and zero-cost large-scale screening tool for prediabetes and type 2 diabetes",2021,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102351500&doi=10.1016%2fj.diabres.2021.108722&partnerID=40&md5=22f61d0c50c213e4c031d180feaa2446","Centers for Disease Control and Prevention

Ministero dell’Istruzione, dell’Università e della Ricerca","Final"
"Lin K., Li Y., Zhang Q., Fortino G.","Ai-driven collaborative resource allocation for task execution in 6g-enabled massive iot",2021,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099532847&doi=10.1109%2fJIOT.2021.3051031&partnerID=40&md5=a80c0823ede18fa604c3431b52a556cb","National Natural Science Foundation of China

Ministero dell’Istruzione, dell’Università e della Ricerca

National Key Research and Development Program of China

Fundamental Research Funds for the Central Universities","Final"
"Giudici P., Raffinetti E.","Shapley-Lorenz eXplainable Artificial Intelligence",2021,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85094149359&doi=10.1016%2fj.eswa.2020.114104&partnerID=40&md5=2ad0976a448c20ccbe52307ac4cf2877","Horizon 2020 Framework Programme

European Commission","Final"
"Gao S., Gao F., Liu Y., Zang T., Huang T., Chen K.","Prospect of Research on Self-aware Energy Internet [自感知能源互联网研究展望]",2021,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102559300&doi=10.7500%2fAEPS20200426009&partnerID=40&md5=84c2f35bff6fbf2157360464ebb496a4","National Natural Science Foundation of China","Final"
"Chatzitofis A., Cancian P., Gkitsas V., Carlucci A., Stalidis P., Albanis G., Karakottas A., Semertzidis T., Daras P., Giannitto C., Casiraghi E., Sposta F.M., Vatteroni G., Ammirabile A., Lofino L., Ragucci P., Laino M.E., Voza A., Desai A., Cecconi M., Balzarini L., Chiti A., Zarpalas D., Savevski V.","Volume-of-interest aware deep neural networks for rapid chest ct-based covid-19 patient risk assessment",2021,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102192172&doi=10.3390%2fijerph18062842&partnerID=40&md5=deb394059e3568fb423881072f9a9cb9","European Commission

European Commission","Final"
"Soro E.","Tinder is facebook: Unravelling facial (dia)logic seduction strategies in online dating sites1 [Tinder è facebook: Districando le strategie di seduzione facciale (dia)logica nei siti di appuntamenti online]",2021,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103851124&doi=10.4399%2f978882553853316&partnerID=40&md5=82b56a60dca00baaa862889d27ccd5cc","Horizon 2020 Framework Programme

European Research Council","Final"
"Luštrek M., Bohanec M., Barca C.C., Ciancarelli M.C., Clays E., Dawodu A.A., Derboven J., Smedt D.D., Dovgan E., Lampe J., Marino F., Mlakar M., Pioggia G., Puddu P.E., Rodríguez J.M., Schiariti M., Slapničar G., Slegers K., Tartarisco G., Valič J., Vodopija A.","A personal health system for self-management of congestive heart failure (HeartMan): Development, technical evaluation, and proof-of-concept randomized controlled trial",2021,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102586428&doi=10.2196%2f24501&partnerID=40&md5=321093cf9432ffc2a09eec466884515d","Horizon 2020 Framework Programme

Javna Agencija za Raziskovalno Dejavnost RS","Final"
"Wilson-Barnes S., Gymnopoulos L.P., Dimitropoulos K., Solachidis V., Rouskas K., Russell D., Oikonomidis Y., Hadjidimitriou S., María Botana J., Brkic B., Mantovani E., Gravina S., Telo G., Lalama E., Buys R., Hassapidou M., Balula Dias S., Batista A., Perone L., Bryant S., Maas S., Cobello S., Bacelar P., Lanham-New S.A., Hart K.","PeRsOnalised nutriTion for hEalthy livINg: The PROTEIN project",2021,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101264999&doi=10.1111%2fnbu.12482&partnerID=40&md5=4b4c3d5a86609f35e94f199e02ee1e29","Horizon 2020 Framework Programme","Final"
"Muratore P., Capone C., Paolucci P.S.","Target spike patterns enable efficient and biologically plausible learning for complex temporal tasks",2021,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101376344&doi=10.1371%2fjournal.pone.0247014&partnerID=40&md5=079e37a8fcf4902d3c03426ab6722d07","Instituto Nazionale di Fisica Nucleare

Horizon 2020","Final"
"Ryo M., Angelov B., Mammola S., Kass J.M., Benito B.M., Hartig F.","Explainable artificial intelligence enhances the ecological interpretability of black-box species distribution models",2021,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096710867&doi=10.1111%2fecog.05360&partnerID=40&md5=72f4f680c5175ee3e6ca69973736cd20","Multiple Sclerosis Center of Atlanta

European Commission

European Research Council

Japan Society for the Promotion of Science

Okinawa Institute of Science and Technology Graduate University

Freie Universität Berlin","Final"
"Levi R., Carli F., Arévalo A.R., Altinel Y., Stein D.J., Naldini M.M., Grassi F., Zanoni A., Finkelstein S., Vieira S.M., Sousa J., Barbieri R., Celi L.A.","Artificial intelligence-based prediction of transfusion in the intensive care unit in patients with gastrointestinal bleeding",2021,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099574607&doi=10.1136%2fbmjhci-2020-100245&partnerID=40&md5=65f378d61815c8bb90675d9184b1a821","National Institute of Biomedical Imaging and Bioengineering

Fundação para a Ciência e a Tecnologia

National Institutes of Health","Final"
