Authors,Title,Year,Cited by,Link,Funding Details,Publication Stage
"Sameni R., Shamsollahi M.B., Jutten C., Clifford G.D.","A nonlinear Bayesian filtering framework for ECG denoising",2007,322,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-36348946459&doi=10.1109%2fTBME.2007.897817&partnerID=40&md5=5cd95ba4ad40a72c0b3a96e546c20065","National Institute of Biomedical Imaging and Bioengineering

Iran Telecommunication Research Center","Final"
"Modares H., Lewis F.L., Naghibi-Sistani M.-B.","Adaptive optimal control of unknown constrained-input systems using policy iteration and neural networks",2013,257,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84885176157&doi=10.1109%2fTNNLS.2013.2276571&partnerID=40&md5=3e59f4e3d2cc5b8077cb6fbb76f5670a",,"Final"
"Jafari-Khouzani K., Soltanian-Zadeh H.","Radon transform orientation estimation for rotation invariant texture analysis",2005,229,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-21244439997&doi=10.1109%2fTPAMI.2005.126&partnerID=40&md5=ecfc866d0bdb7bfa61f4d2ec0e413dbd","National Institutes of Health

National Institute of Biomedical Imaging and Bioengineering","Final"
"Jafari-Khouzani K., Soltanian-Zadeh H.","Rotation-invariant multiresolution texture analysis using radon and wavelet transforms",2005,139,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-20444411826&doi=10.1109%2fTIP.2005.847302&partnerID=40&md5=ad8acdf06ecb9a6cdaaed422eb191aed","National Institutes of Health

National Institute of Biomedical Imaging and Bioengineering","Final"
"Chen W., Peng J., Hong H., Shahabi H., Pradhan B., Liu J., Zhu A.-X., Pei X., Duan Z.","Landslide susceptibility modelling using GIS-based machine learning techniques for Chongren County, Jiangxi Province, China",2018,129,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042195668&doi=10.1016%2fj.scitotenv.2018.01.124&partnerID=40&md5=89adc983766aabdddc38584eea661a78","University of Wisconsin-Madison

National Natural Science Foundation of China

Chinese Academy of Sciences

China Postdoctoral Science Foundation

Chengdu University of Technology

Education Department of Shaanxi Province

Shaanxi Province Postdoctoral Science Foundation

State Key Laboratory of Geohazard Prevention and Geoenvironment Protection

National Basic Research Program of China (973 Program)","Final"
"Dou J., Yunus A.P., Tien Bui D., Merghadi A., Sahana M., Zhu Z., Chen C.-W., Khosravi K., Yang Y., Pham B.T.","Assessment of advanced random forest and decision tree algorithms for modeling rainfall-induced landslide susceptibility in the Izu-Oshima Volcanic Island, Japan",2019,123,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060476790&doi=10.1016%2fj.scitotenv.2019.01.221&partnerID=40&md5=38a323d65b53a180e90be6492ca9f123","National Natural Science Foundation of China","Final"
"Zhou C., Yin K., Cao Y., Ahmed B., Li Y., Catani F., Pourghasemi H.R.","Landslide susceptibility modeling applying machine learning methods: A case study from Longju in the Three Gorges Reservoir area, China",2018,94,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85037535129&doi=10.1016%2fj.cageo.2017.11.019&partnerID=40&md5=4866b500ad637b0da3995a8d3d698805","China Three Gorges Corporation

National Natural Science Foundation of China

Università degli Studi di Firenze

China Scholarship Council","Final"
"Sajedi-Hosseini F., Malekian A., Choubin B., Rahmati O., Cipullo S., Coulon F., Pradhan B.","A novel machine learning-based approach for the risk assessment of nitrate groundwater contamination",2018,83,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049899488&doi=10.1016%2fj.scitotenv.2018.07.054&partnerID=40&md5=181ff14c17c88571c65e52775da6ab92","Horizon 2020 Framework Programme","Final"
"Ardabili S.F., Mosavi A., Ghamisi P., Ferdinand F., Varkonyi-Koczy A.R., Reuter U., Rabczuk T., Atkinson P.M.","COVID-19 outbreak prediction with machine learning",2020,49,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099545833&doi=10.3390%2fa13100249&partnerID=40&md5=5f6c128a695cf86c2d113fe265e92540","European Commission

European Social Fund

European Regional Development Fund","Final"
"Chen W., Shahabi H., Shirzadi A., Hong H., Akgun A., Tian Y., Liu J., Zhu A.-X., Li S.","Novel hybrid artificial intelligence approach of bivariate statistical-methods-based kernel logistic regression classifier for landslide susceptibility modeling",2019,49,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056352533&doi=10.1007%2fs10064-018-1401-8&partnerID=40&md5=9fd7de95aa9d80bfe85fa80f3a3a6c78","National Natural Science Foundation of China

Chinese Academy of Sciences

China Postdoctoral Science Foundation

Shaanxi Province Postdoctoral Science Foundation","Final"
"Samadzadegan F., Hasani H., Schenk T.","Simultaneous feature selection and SVM parameter determination in classification of hyperspectral imagery using Ant Colony Optimization",2012,38,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865742501&doi=10.5589%2fm12-022&partnerID=40&md5=f038e19e1ad8feab194be91586ad5b27","European Commission

Deutsches Zentrum für Luft- und Raumfahrt","Final"
"Zhou J., Li C., Arslan C.A., Hasanipanah M., Bakhshandeh Amnieh H.","Performance evaluation of hybrid FFA-ANFIS and GA-ANFIS models to predict particle size distribution of a muck-pile after blasting",2021,37,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068992622&doi=10.1007%2fs00366-019-00822-0&partnerID=40&md5=6e7c94c0a506f16e1208eff865b46689","Innovative Research Group Project of the National Natural Science Foundation of China

National Natural Science Foundation of China

Central South University

Natural Science Foundation of Hunan Province","Final"
"Zhan J., Davvaz B., Shum K.P.","On probabilistic n-ary hypergroups",2010,36,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-73749087912&doi=10.1016%2fj.ins.2009.11.038&partnerID=40&md5=d312996aa3dfa18f40707a93807cf72e","National Natural Science Foundation of China

Natural Science Foundation of Hubei Province","Final"
"Askarian M., Escudero G., Graells M., Zarghami R., Jalali-Farahani F., Mostoufi N.","Fault diagnosis of chemical processes with incomplete observations: A comparative study",2016,32,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84941236469&doi=10.1016%2fj.compchemeng.2015.08.018&partnerID=40&md5=c2d497caef08257ff0be5e675a02674c","Generalitat de Catalunya

Ministerio de Economía y Competitividad

Ministerio de Ciencia e Innovación

European Regional Development Fund

Ministry of Science Research and Technology","Final"
"Guo H., Zhou J., Koopialipoor M., Jahed Armaghani D., Tahir M.M.","Deep neural network and whale optimization algorithm to assess flyrock induced by blasting",2021,31,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068883151&doi=10.1007%2fs00366-019-00816-y&partnerID=40&md5=a2e8e6e3013b194f73939d810776e223","National Natural Science Foundation of China

Central South University

China Postdoctoral Science Foundation","Final"
"Chen W., Li Y., Tsangaratos P., Shahabi H., Ilia I., Xue W., Bian H.","Groundwater spring potential mapping using artificial intelligence approach based on kernel logistic regression, random forest, and alternating decision tree models",2020,29,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078522846&doi=10.3390%2fapp10020425&partnerID=40&md5=b4f90387a5fb17697c8c7b22243335d9","National Natural Science Foundation of China

China Postdoctoral Science Foundation

Shaanxi Province Postdoctoral Science Foundation

Science and Technology Major Project of Guangxi","Final"
"Zheng Y., Shadloo M.S., Nasiri H., Maleki A., Karimipour A., Tlili I.","Prediction of viscosity of biodiesel blends using various artificial model and comparison with empirical correlations",2020,28,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85080142484&doi=10.1016%2fj.renene.2020.02.087&partnerID=40&md5=6175fab8ed4f0a205b7cd872e1c5dcdc","National Natural Science Foundation of China","Final"
"Khalili-Damghani K., Abtahi A.-R., Tavana M.","A decision support system for solving multi-objective redundancy allocation problems",2014,27,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84912011007&doi=10.1002%2fqre.1545&partnerID=40&md5=d6417e0e0aa020f3a58e599102f164a1","Horizon 2020 Framework Programme","Final"
"Landeras G., Bekoe E., Ampofo J., Logah F., Diop M., Cisse M., Shiri J.","New alternatives for reference evapotranspiration estimation in West Africa using limited weather data and ancillary data supply strategies",2018,26,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017471569&doi=10.1007%2fs00704-017-2120-y&partnerID=40&md5=ac2617bb19e80b96c753d663a2a2f556","European Commission","Final"
"Golilarz N.A., Addeh A., Gao H., Ali L., Roshandeh A.M., Mudassir Munir H., Khan R.U.","A new automatic method for control chart patterns recognition based on convnet and harris hawks meta heuristic optimization algorithm",2019,24,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075905547&doi=10.1109%2fACCESS.2019.2945596&partnerID=40&md5=397aa751d378000e73fc38992b62e8b6","National Natural Science Foundation of China","Final"
"Zhan J., Davvaz B.","Notes on roughness in rings",2016,17,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961050981&doi=10.1016%2fj.ins.2015.04.039&partnerID=40&md5=3ef68375e7d8ffab2f2b4300e3b8fdb0","National Natural Science Foundation of China","Final"
"Tian E., Babanezhad M., Rezakazemi M., Shirazian S.","Simulation of a Bubble-Column Reactor by Three-Dimensional CFD: Multidimension- and Function-Adaptive Network-Based Fuzzy Inference System",2020,16,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075244759&doi=10.1007%2fs40815-019-00741-8&partnerID=40&md5=92233421356d5ffd725a900edb581ee6","National Natural Science Foundation of China","Final"
"Zendehboudi A., Tatar A., Li X.","A comparative study and prediction of the liquid desiccant dehumidifiers using intelligent models",2017,16,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026666006&doi=10.1016%2fj.renene.2017.07.078&partnerID=40&md5=57cb2470d97ca6588d8298c832fffacf","National Natural Science Foundation of China","Final"
"Dolati A., Fernández Sánchez J., Úbeda-Flores M.","A copula-based family of fuzzy implication operators",2013,16,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867901176&doi=10.1016%2fj.fss.2012.05.007&partnerID=40&md5=522f6a116f042b1655de1eab7c2fc86b","Ministerio de Ciencia e Innovación

European Regional Development Fund","Final"
"Agahi H., Mesiar R., Ouyang Y.","On some advanced type inequalities for Sugeno integral and T-(S-)evaluators",2012,16,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865747920&doi=10.1016%2fj.ins.2011.10.021&partnerID=40&md5=c431cc76a8c4f2ee7546f6c65f1ccc0b","Natural Science Foundation of Zhejiang Province

Vedecká Grantová Agentúra MŠVVaŠ SR a SAV","Final"
"Azadeh A., Ghaderi S.F., Anvari M., Izadbakhsh H.R., Rezaee M.J., Raoofi Z.","An integrated decision support system for performance assessment and optimization of decision-making units",2013,15,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880572463&doi=10.1007%2fs00170-012-4387-6&partnerID=40&md5=5976023f591325523e27bf6787adb0c8",,"Final"
"Liu W., Safdari Shadloo M., Tlili I., Maleki A., Bach Q.-V.","The effect of alcohol–gasoline fuel blends on the engines’ performances and emissions",2020,11,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084739523&doi=10.1016%2fj.fuel.2020.117977&partnerID=40&md5=ef121f0efac3ac1e53f24dc08441e02c","National Natural Science Foundation of China

Priority Academic Program Development of Jiangsu Higher Education Institutions","Final"
"Saadatfar H., Khosravi S., Joloudari J.H., Mosavi A., Shamshirband S.","A new k-nearest neighbors classifier for big data based on efficient data pruning",2020,10,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85080139012&doi=10.3390%2fmath8020286&partnerID=40&md5=fc8a4e66d2bdb3d9b13193e9ece63574","European Commission

Deutsche Forschungsgemeinschaft","Final"
"Mesiar R., Najjari V.","New families of symmetric/asymmetric copulas",2014,9,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84905394715&doi=10.1016%2fj.fss.2013.12.015&partnerID=40&md5=f7576eeb288023d6b01824f20a05ade6","European Regional Development Fund","Final"
"Wang X., Chen H., Heidari A.A., Zhang X., Xu J., Xu Y., Huang H.","Multi-population following behavior-driven fruit fly optimization: A Markov chain convergence proof and comprehensive analysis",2020,8,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091662149&doi=10.1016%2fj.knosys.2020.106437&partnerID=40&md5=51d7a9be048c5d8daebaeac38b1fcb61","National Natural Science Foundation of China

Natural Science Foundation of Zhejiang Province

Science and Technology Plan Project of Wenzhou, China","Final"
"Khoshnevisan B., Rafiee S., Pan J., Zhang Y., Liu H.","A multi-criteria evolutionary-based algorithm as a regional scale decision support system to optimize nitrogen consumption rate; A case study in North China plain",2020,8,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079006804&doi=10.1016%2fj.jclepro.2020.120213&partnerID=40&md5=9e130333c81f47685789dbe1b3a9ce24","National Natural Science Foundation of China","Final"
"Li G., Kumar D., Samui P., Rad H.N., Roy B., Hasanipanah M.","Developing a new computational intelligence approach for approximating the blast-induced ground vibration",2020,8,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081205550&doi=10.3390%2fapp10020434&partnerID=40&md5=d3c286da569785c4603558fdfc349f5f","National Natural Science Foundation of China

National Basic Research Program of China (973 Program)","Final"
"Chao H., Fang X., Zhang J., Homayounieh F., Arru C.D., Digumarthy S.R., Babaei R., Mobin H.K., Mohseni I., Saba L., Carriero A., Falaschi Z., Pasche A., Wang G., Kalra M.K., Yan P.","Integrative analysis for COVID-19 patient outcome prediction",2021,7,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092926237&doi=10.1016%2fj.media.2020.101844&partnerID=40&md5=01e03b35e74b97f044f832a5d8f149df","National Heart, Lung, and Blood Institute

National Institute of Biomedical Imaging and Bioengineering","Final"
"Seifi A., Ehteram M., Singh V.P., Mosavi A.","Modeling and uncertainty analysis of groundwater level using six evolutionary optimization algorithms hybridized with ANFIS, SVM, and ANN",2020,7,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085660374&doi=10.3390%2fSU12104023&partnerID=40&md5=6a00c665b7fd9b82947d4c0ab6b5027a","European Commission

Deutsche Forschungsgemeinschaft

Bauhaus-Universität Weimar","Final"
"Band S.S., Janizadeh S., Pal S.C., Saha A., Chakrabortty R., Melesse A.M., Mosavi A.","Flash flood susceptibility modeling using new approaches of hybrid and ensemble tree-based machine learning algorithms",2020,6,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85094912774&doi=10.3390%2frs12213568&partnerID=40&md5=4da19e0336b1af104b7fbf588a637b51","European Commission","Final"
"Abbaspour-Gilandeh Y., Molaee A., Sabzi S., Nabipur N., Shamshirband S., Mosavi A.","A combined method of image processing and artificial neural network for the identification of 13 Iranian rice cultivars",2020,5,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077932476&doi=10.3390%2fagronomy10010119&partnerID=40&md5=80f20c3cacb59e301660ebbc867c1013","European Commission

Deutsche Forschungsgemeinschaft

Bauhaus-Universität Weimar

University of Mohaghegh Ardabili","Final"
"Dolati A., Mohseni S., Úbeda-Flores M.","Some results on a transformation of copulas and quasi-copulas",2014,5,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84888643964&doi=10.1016%2fj.ins.2013.09.023&partnerID=40&md5=ea4abeecde7c4caf4c52fac0b2e453e1","European Regional Development Fund","Final"
"Shateri M., Sobhanigavgani Z., Alinasab A., Varamesh A., Hemmati-Sarapardeh A., Mosavi A., Shamshirband S.S.","Comparative analysis of machine learning models for nanofluids viscosity assessment",2020,4,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090353635&doi=10.3390%2fnano10091767&partnerID=40&md5=bbd2a812ab5299eafee1e0493be56146","Alexander von Humboldt-Stiftung

European Social Fund

European Commission","Final"
"Mostafaeipour A., Fakhrzad M.B., Gharaat S., Jahangiri M., Dhanraj J.A., Band S.S., Issakhov A., Mosavi A.","Machine learning for prediction of energy in wheat production",2020,3,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85094821186&doi=10.3390%2fagriculture10110517&partnerID=40&md5=32341caae02c1447241a28fa5e9bd25e","European Commission","Final"
"Mosavi A., Faghan Y., Ghamisi P., Duan P., Ardabili S.F., Salwana E., Band S.S.","Comprehensive review of deep reinforcement learning methods and applications in economics",2020,3,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092487643&doi=10.3390%2fMATH8101640&partnerID=40&md5=a73687c4fec5e7329536d4ccbc5b6acf","Alexander von Humboldt-Stiftung

European Commission

European Social Fund","Final"
"Tatar A., Moghtadaei G.M., Manafi A., Cachadiña I., Mulero Á.","Determination of pure alcohols surface tension using Artificial Intelligence methods",2020,3,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082725723&doi=10.1016%2fj.chemolab.2020.104008&partnerID=40&md5=5d10da19fcada98aeddc28097237019e","Ministerio de Ciencia, Innovación y Universidades

European Regional Development Fund

Junta de Extremadura","Final"
"Guo J., Lv Y., Zhang H., Nojavan S., Jermsittiparsert K.","Robust optimization strategy for intelligent parking lot of electric vehicles",2020,3,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083057481&doi=10.1016%2fj.energy.2020.117555&partnerID=40&md5=bc54e038e2821c33688f23449d1501da","National Natural Science Foundation of China

Key Technologies Research and Development Program","Final"
"Yu Q., Xiong Z., Du C., Dai Z., Soltanian M.R., Soltanian M., Yin S., Liu W., Liu C., Wang C., Song Z.","Identification of rock pore structures and permeabilities using electron microscopy experiments and deep learning interpretations",2020,3,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079882578&doi=10.1016%2fj.fuel.2020.117416&partnerID=40&md5=ebc18093270697ba27259423f16c9547","Nvidia

Ministry of Education

National Natural Science Foundation of China

Ministry of Education of the People's Republic of China

Natural Science Foundation of Hebei Province

Jilin University

National Key Research and Development Program of China

Program for Jilin University Science and Technology Innovative Research Team","Final"
"Sabzi S., Pourdarbani R., Kalantari D., Panagopoulos T.","Designing a fruit identification algorithm in orchard conditions to develop robots using video processing and majority voting based on hybrid artificial neural network",2020,3,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079278546&doi=10.3390%2fapp10010383&partnerID=40&md5=4857ef13641cbb308b185820e1a77083","European Commission","Final"
