Authors,Title,Year,Cited by,Link,Funding Details,Publication Stage
"Wang B., Cancilla J.C., Torrecilla J.S., Haick H.","Artificial sensing intelligence with silicon nanowires for ultraselective detection in the gas phase",2014,158,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84894133366&doi=10.1021%2fnl404335p&partnerID=40&md5=13b4b0eb8b25bd87b6169aa6e38002f3","Seventh Framework Programme","Final"
"Bolón-Canedo V., Sánchez-Maroño N., Alonso-Betanzos A.","Recent advances and emerging challenges of feature selection in the context of big data",2015,151,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84938414463&doi=10.1016%2fj.knosys.2015.05.014&partnerID=40&md5=73643933dd7e5d7d3f7fe61215274090","European Commission

Ministerio de Economía y Competitividad","Final"
"Mestres A., Rodriguez-Natal A., Carner J., Barlet-Ros P., Alarcón E., Solé M., Muntés-Mulero V., Meyer D., Barkai S., Hibbett M.J., Estrada G., Ma'ruf K., Coras F., Ermagan V., Latapie H., Cassar C., Evans J., Maino F., Walrand J., Cabellos A.","Knowledge-defined networking",2017,148,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029518719&doi=10.1145%2f3138808.3138810&partnerID=40&md5=7494da5f389ca8b612876a5079604a7e","Generalitat de Catalunya

European Regional Development Fund

Ministerio de Economía, Industria y Competitividad, Gobierno de España","Final"
"Villaverde A.F., Banga J.R.","Reverse engineering and identification in systems biology: Strategies, perspectives and challenges",2014,136,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84891892050&doi=10.1098%2frsif.2013.0505&partnerID=40&md5=49e5236666e010c328c0c4d67d41f54f","Seventh Framework Programme","Final"
"Riaño D., Real F., López-Vallverdú J.A., Campana F., Ercolani S., Mecocci P., Annicchiarico R., Caltagirone C.","An ontology-based personalization of health-care knowledge to support clinical decisions for chronically ill patients",2012,136,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84861847757&doi=10.1016%2fj.jbi.2011.12.008&partnerID=40&md5=9fab3c2e4a55e63b38c90ae1ac5e2e6d","European Commission

Všeobecná Fakultní Nemocnice v Praze

European Commission","Final"
"Dong Y., Zhang H., Herrera-Viedma E.","Consensus reaching model in the complex and dynamic MAGDM problem",2016,133,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84975142544&doi=10.1016%2fj.knosys.2016.05.046&partnerID=40&md5=bea6690c46dce9b65e7e83a7d69bbf13","National Natural Science Foundation of China

Sichuan University

European Regional Development Fund","Final"
"Lukas L., Devos A., Suykens J.A.K., Vanhamme L., Howe F.A., Majós C., Moreno-Torres A., Van Der Graaf M., Tate A.R., Arús C., Van Huffel S.","Brain tumor classification based on long echo proton MRS signals",2004,132,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-2942620732&doi=10.1016%2fj.artmed.2004.01.001&partnerID=40&md5=c9055a6b18fe178448efbcb48ffde129","European Commission

Fonds Wetenschappelijk Onderzoek

Agentschap voor Innovatie door Wetenschap en Technologie","Final"
"Fernández Caballero J.C., Martinez F.J., Hervas C., Gutierrez P.A.","Sensitivity versus accuracy in multiclass problems using memetic pareto evolutionary neural networks",2010,125,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77951937354&doi=10.1109%2fTNN.2010.2041468&partnerID=40&md5=1d9c4d0a943ad67464d913552e4804db","Ministerio de Ciencia y Tecnología

European Regional Development Fund

Junta de Andalucía","Final"
"Wang P., Li W., Ogunbona P., Wan J., Escalera S.","RGB-D-based human motion recognition with deep learning: A survey",2018,121,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046660226&doi=10.1016%2fj.cviu.2018.04.007&partnerID=40&md5=768c54e63256d5243c19dcbb42dadfea","National Natural Science Foundation of China

Generalitat de Catalunya

Ministerio de Economía y Competitividad

European Regional Development Fund","Final"
"Blasco J., Cubero S., Gómez-Sanchís J., Mira P., Moltó E.","Development of a machine for the automatic sorting of pomegranate (Punica granatum) arils based on computer vision",2009,119,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-48749114272&doi=10.1016%2fj.jfoodeng.2008.05.035&partnerID=40&md5=3f655d759e50f50344430a0681944734","Instituto Nacional de Investigación y Tecnología Agraria y Alimentaria

European Commission

Instituto Nacional de Investigación Agropecuaria","Final"
"Aja-Fernández S., Niethammer M., Kubicki M., Shenton M.E., Westin C.-F.","Restoration of DWI data using a rician LMMSE estimator",2008,119,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-52649095997&doi=10.1109%2fTMI.2008.920609&partnerID=40&md5=e7442eadaed5131985a19f4937787cb6","National Institutes of Health

National Institute of Mental Health

National Institute of Biomedical Imaging and Bioengineering

Scranton Area Foundation

Ministry of Education and Science

Comisión Interministerial de Ciencia y Tecnología","Final"
"Prieto A., Prieto B., Ortigosa E.M., Ros E., Pelayo F., Ortega J., Rojas I.","Neural networks: An overview of early research, current frameworks and new challenges",2016,116,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84992521751&doi=10.1016%2fj.neucom.2016.06.014&partnerID=40&md5=a06b4b95de526bb0174e4a63a0e51260","European Regional Development Fund","Final"
"Apolloni J., Leguizamón G., Alba E.","Two hybrid wrapper-filter feature selection algorithms applied to high-dimensional microarray experiments",2016,112,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84947238245&doi=10.1016%2fj.asoc.2015.10.037&partnerID=40&md5=02dba2f5c54074b3a802fd58d7e1bd09","Consejería de Economía, Innovación, Ciencia y Empleo, Junta de Andalucía

Ministerio de Economía y Competitividad

European Regional Development Fund","Final"
"Rafique D., Velasco L.","Machine learning for network automation: Overview, architecture, and applications [Invited Tutorial]",2018,110,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055964092&doi=10.1364%2fJOCN.10.00D126&partnerID=40&md5=c814a681aa393fa4cde0e0f638cd779e","Horizon 2020 Framework Programme

European Commission

Bundesministerium für Bildung und Forschung

Institució Catalana de Recerca i Estudis Avançats","Final"
"Pérez I.J., Cabrerizo F.J., Alonso S., Dong Y.C., Chiclana F., Herrera-Viedma E.","On dynamic consensus processes in group decision making problems",2018,108,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047205709&doi=10.1016%2fj.ins.2018.05.017&partnerID=40&md5=d9ffba791214546d69db23f7eee3679a","National Science Foundation

European Regional Development Fund

Universidad de Cádiz","Final"
"García-Gómez J.M., Luts J., Julià-Sapé M., Krooshof P., Tortajada S., Robledo J.V., Melssen W., Fuster-García E., Olier I., Postma G., Monleón D., Moreno-Torres A., Pujol J., Candiota A.-P., Martínez-Bisbal M.C., Suykens J., Buydens L., Celda B., Van Huffel S., Arús C., Robles M.","Multiproject-multicenter evaluation of automatic brain tumor classification by magnetic resonance spectroscopy",2009,107,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-60549113497&doi=10.1007%2fs10334-008-0146-y&partnerID=40&md5=3e07d8634198c9cb6a9b1b3fbe017dc5","European Commission

Agentschap voor Innovatie door Wetenschap en Technologie

European Social Fund","Final"
"Serrà J., Arcos J.L.","An empirical evaluation of similarity measures for time series classification",2014,105,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84904722044&doi=10.1016%2fj.knosys.2014.04.035&partnerID=40&md5=b6367b4a5d33f2a07e38901113eb2b4f","European Commission

Generalitat de Catalunya

Consejo Superior de Investigaciones Científicas","Final"
"Sánchez-Lozano J.M., Henggeler Antunes C., García-Cascales M.S., Dias L.C.","GIS-based photovoltaic solar farms site selection using ELECTRE-TRI: Evaluating the case for Torre Pacheco, Murcia, Southeast of Spain",2014,105,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84893136365&doi=10.1016%2fj.renene.2013.12.038&partnerID=40&md5=84a92a3f266fbc0f1d8391b21fb6b31d","Fundação para a Ciência e a Tecnologia

European Regional Development Fund

Fundació Catalana de Trasplantament

Junta de Andalucía","Final"
"Normann R.A., Greger B.A., House P., Romero S.F., Pelayo F., Fernandez E.","Toward the development of a cortically based visual neuroprosthesis",2009,105,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-68049129722&doi=10.1088%2f1741-2560%2f6%2f3%2f035001&partnerID=40&md5=24d4de7b7e5056a8c78a3109bdefcdce","National Eye Institute","Final"
"Drotár P., Mekyska J., Rektorová I., Masarová L., Smékal Z., Faundez-Zanuy M.","Evaluation of handwriting kinematics and pressure for differential diagnosis of Parkinson's disease",2016,102,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84957917015&doi=10.1016%2fj.artmed.2016.01.004&partnerID=40&md5=43489eb5857e477f3d42a47e3b707ed7","Ministerio de Economía y Competitividad

Vysoké Učení Technické v Brně

Central European Institute of Technology

European Regional Development Fund","Final"
"De la Hoz E., De La Hoz E., Ortiz A., Ortega J., Prieto B.","PCA filtering and probabilistic SOM for network intrusion detection",2015,101,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84935592025&doi=10.1016%2fj.neucom.2014.09.083&partnerID=40&md5=c00910c69f0ce7b454d7137aa3b031f6","Ministerio de Ciencia e Innovación

European Regional Development Fund","Final"
"Almeida M.P., Perpiñán O., Narvarte L.","PV power forecast using a nonparametric PV model",2015,100,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84925395797&doi=10.1016%2fj.solener.2015.03.006&partnerID=40&md5=14abdda6a3f2b683a22048843341042c","Seventh Framework Programme

Seventh Framework Programme","Final"
"Contreras J., Wu F.F.","Coalition formation in transmission expansion planning",1999,100,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032592940&doi=10.1109%2f59.780946&partnerID=40&md5=442eb06feb8c14487b997148d8f5b655","National Science Foundation

Research Grants Council, University Grants Committee","Final"
"Best M.G., Sol N., In ‘t Veld S.G.J.G., Vancura A., Muller M., Niemeijer A.-L.N., Fejes A.V., Tjon Kon Fat L.-A., Huis In ‘t Veld A.E., Leurs C., Le Large T.Y., Meijer L.L., Kooi I.E., Rustenburg F., Schellen P., Verschueren H., Post E., Wedekind L.E., Bracht J., Esenkbrink M., Wils L., Favaro F., Schoonhoven J.D., Tannous J., Meijers-Heijboer H., Kazemier G., Giovannetti E., Reijneveld J.C., Idema S., Killestein J., Heger M., de Jager S.C., Urbanus R.T., Hoefer I.E., Pasterkamp G., Mannhalter C., Gomez-Arroyo J., Bogaard H.-J., Noske D.P., Vandertop W.P., van den Broek D., Ylstra B., Nilsson R.J.A., Wesseling P., Karachaliou N., Rosell R., Lee-Lewandrowski E., Lewandrowski K.B., Tannous B.A., de Langen A.J., Smit E.F., van den Heuvel M.M., Wurdinger T.","Swarm Intelligence-Enhanced Detection of Non-Small-Cell Lung Cancer Using Tumor-Educated Platelets",2017,98,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027221443&doi=10.1016%2fj.ccell.2017.07.004&partnerID=40&md5=365e4f8dba89fecacaa72cd3a285fe64","National Institutes of Health

National Cancer Institute

European Research Council

Vetenskapsrådet

Associazione Italiana per la Ricerca sul Cancro","Final"
"Chrysoulakis N., Lopes M., San José R., Grimmond C.S.B., Jones M.B., Magliulo V., Klostermann J.E.M., Synnefa A., Mitraka Z., Castro E.A., González A., Vogt R., Vesala T., Spano D., Pigeon G., Freer-Smith P., Staszewski T., Hodges N., Mills G., Cartalis C.","Sustainable urban metabolism as a link between bio-physical sciences and urban planning: The BRIDGE project",2013,96,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875275154&doi=10.1016%2fj.landurbplan.2012.12.005&partnerID=40&md5=50f936394d027815fd83eae5df4e0ffd","Seventh Framework Programme

Seventh Framework Programme","Final"
"Nguyen G., Dlugolinsky S., Bobák M., Tran V., López García Á., Heredia I., Malík P., Hluchý L.","Machine Learning and Deep Learning frameworks and libraries for large-scale data mining: a survey",2019,92,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060332849&doi=10.1007%2fs10462-018-09679-z&partnerID=40&md5=24851b7c09ba07e2373c061266424082","Horizon 2020 Framework Programme

Vedecká Grantová Agentúra MŠVVaŠ SR a SAV","Final"
"Fernández-Gavilanes M., Álvarez-López T., Juncal-Martínez J., Costa-Montenegro E., Javier González-Castaño F.","Unsupervised method for sentiment analysis in online texts",2016,90,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963502462&doi=10.1016%2fj.eswa.2016.03.031&partnerID=40&md5=1861508d378d62e6b87096d8e7a6f2dc","European Regional Development Fund","Final"
"Zhan J., Alcantud J.C.R.","A novel type of soft rough covering and its application to multicriteria group decision making",2019,88,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040936124&doi=10.1007%2fs10462-018-9617-3&partnerID=40&md5=c18d0e8839fde7c0815f2d477885bd77","National Natural Science Foundation of China","Final"
"Cecilia J.M., García J.M., Nisbet A., Amos M., Ujaldón M.","Enhancing data parallelism for ant colony optimization on GPUs",2013,86,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84869488080&doi=10.1016%2fj.jpdc.2012.01.002&partnerID=40&md5=7691fa7cf7e983b8bfdca5df593d2bce","Fundación Séneca

Manchester Metropolitan University

Seventh Framework Programme

Ministerio de Ciencia e Innovación","Final"
"Gómez D.D., Butakoff C., Ersbøll B.K., Stoecker W.","Independent histogram pursuit for segmentation of skin lesions",2008,86,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-37349001758&doi=10.1109%2fTBME.2007.910651&partnerID=40&md5=12213fd93bd8eaa23844e3a6b7fad485","National Cancer Institute","Final"
"Pérez-Ortiz M., Peña J.M., Gutiérrez P.A., Torres-Sánchez J., Hervás-Martínez C., López-Granados F.","Selecting patterns and features for between- and within- crop-row weed mapping using UAV-imagery",2016,85,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949520283&doi=10.1016%2fj.eswa.2015.10.043&partnerID=40&md5=77d3329c6c9ad70c539c3f0a1fb38a3b","Family Process Institute

Ministerio de Economía y Competitividad

Ministerio de Ciencia y Tecnología

European Regional Development Fund

Junta de Andalucía","Final"
"Cubo J., Nieto A., Pimentel E.","A cloud-based internet of things platform for ambient assisted living",2014,85,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84905493158&doi=10.3390%2fs140814070&partnerID=40&md5=42a54fc7717b0f75f0e845cfee1a964a","Seventh Framework Programme","Final"
"Endert A., Ribarsky W., Turkay C., Wong B.L.W., Nabney I., Blanco I.D., Rossi F.","The State of the Art in Integrating Machine Learning into Visual Analytics",2017,83,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85016273988&doi=10.1111%2fcgf.13092&partnerID=40&md5=ed35cfe47deb19b88fa4d8f5f07e8fa0","Pacific Northwest National Laboratory

Federación Española de Enfermedades Raras

European Regional Development Fund","Final"
"Martínez-Estudillo A.C., Hervás-Martínez C., Martínez-Estudillo F.J., García-Pedrajas N.","Hybridization of evolutionary algorithms and local search by means of a clustering method",2006,82,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33744512928&doi=10.1109%2fTSMCB.2005.860138&partnerID=40&md5=cd03407ede01218ebf1f0a011c826fce","Comisión Interministerial de Ciencia y Tecnología

Comisión Interministerial de Ciencia y Tecnología

European Regional Development Fund

European Regional Development Fund","Final"
"Martínez-Estudillo A., Martínez-Estudillo F., Hervás-Martínez C., García-Pedrajas N.","Evolutionary product unit based neural networks for regression",2006,81,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33744937909&doi=10.1016%2fj.neunet.2005.11.001&partnerID=40&md5=bac8e37da4e5c0bf3f110c6df6ba3132","Comisión Interministerial de Ciencia y Tecnología

European Regional Development Fund","Final"
"García-Nieto J., Alba E., Carolina Olivera A.","Swarm intelligence for traffic light scheduling: Application to real urban areas",2012,79,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84855806275&doi=10.1016%2fj.engappai.2011.04.011&partnerID=40&md5=35c240f22758a50fd251f378a17fddd5","Consejo Nacional de Investigaciones Científicas y Técnicas

Ministerio de Ciencia e Innovación

European Regional Development Fund

Junta de Andalucía","Final"
"Ramírez-Gallego S., Fernández A., García S., Chen M., Herrera F.","Big Data: Tutorial and guidelines on information and process fusion for analytics algorithms with MapReduce",2018,78,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85031496391&doi=10.1016%2fj.inffus.2017.10.001&partnerID=40&md5=6a693a569a782eb3fac76e4ac7be22f1","Ministerio de Ciencia y Tecnología

European Regional Development Fund","Final"
"Merigó J.M., Yager R.R.","Generalized moving averages, distance measures and OWA operators",2013,78,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84882238133&doi=10.1142%2fS0218488513500268&partnerID=40&md5=b11de561600aea93bba674ccb3684ed0","Seventh Framework Programme

European Commission

Ministerio de Educación, Cultura y Deporte","Final"
"Pérez-Ortiz M., Peña J.M., Gutiérrez P.A., Torres-Sánchez J., Hervás-Martínez C., López-Granados F.","A semi-supervised system for weed mapping in sunflower crops using unmanned aerial vehicles and a crop row detection method",2015,77,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84941766152&doi=10.1016%2fj.asoc.2015.08.027&partnerID=40&md5=a192dda1e5d932862aa8757bc7d4220c","Family Process Institute

Ministerio de Economía y Competitividad

Ministerio de Ciencia y Tecnología

European Regional Development Fund

Junta de Andalucía","Final"
"Montesano L., Díaz M., Bhaskar S., Minguez J.","Towards an intelligent wheelchair system for users with cerebral palsy",2010,77,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77951887618&doi=10.1109%2fTNSRE.2009.2039592&partnerID=40&md5=e9f2fa3455ff8f7084d136d9cc8f1e3e","Ministerio de Economía y Competitividad

European Regional Development Fund

Fundació Catalana de Trasplantament","Final"
"Vilaplana V., Marques F., Salembier P.","Binary partition trees for object detection",2008,75,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-54949135159&doi=10.1109%2fTIP.2008.2002841&partnerID=40&md5=5b2d9b6fbd7dded62e6ea3e6ddee5c7c","European Commission","Final"
"Bouix S., Martin-Fernandez M., Ungar L., Nakamura M., Koo M.-S., McCarley R.W., Shenton M.E.","On evaluating brain tissue classifiers without a ground truth",2007,74,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-34347350263&doi=10.1016%2fj.neuroimage.2007.04.031&partnerID=40&md5=90f1fa7dcb8a762adc2d8436814160e5","National Institutes of Health

National Institute of Mental Health

National Institute of Biomedical Imaging and Bioengineering

National Center for Research Resources

European Commission

Ministry of Education and Science","Final"
"Verschure P.F.M.J., Pennartz C.M.A., Pezzulo G.","The why, what, where, when and how of goal-directed choice: Neuronal and computational principles",2014,73,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84907494746&doi=10.1098%2frstb.2013.0483&partnerID=40&md5=e890ab631c6bf6bdf6adf626ec2727d0","Seventh Framework Programme","Final"
"Molinos-Senante M., Garrido-Baserba M., Reif R., Hernández-Sancho F., Poch M.","Assessment of wastewater treatment plant design for small communities: Environmental and economic aspects",2012,72,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84861196087&doi=10.1016%2fj.scitotenv.2012.04.023&partnerID=40&md5=07eb519bc28bb2f2ccfced2e4086dde1","Seventh Framework Programme

European Commission

Ministerio de Educación, Cultura y Deporte","Final"
"Valls A., Gibert K., Sánchez D., Batet M.","Using ontologies for structuring organizational knowledge in Home Care assistance",2010,72,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77949915975&doi=10.1016%2fj.ijmedinf.2010.01.012&partnerID=40&md5=209b1d59f92e2f74419e05ce9da08865","Sixth Framework Programme","Final"
"Millán R.D., Dempere-Marco L., Pozo J.M., Cebral J.R., Frangi A.F.","Morphological characterization of intracranial aneurysms using 3-D moment invariants",2007,72,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-34548528343&doi=10.1109%2fTMI.2007.901008&partnerID=40&md5=1dd1d1065d5554bec7f187e12dc717b0","European Commission

Centro para el Desarrollo Tecnológico Industrial

Ministerio de Economía y Competitividad

Instituto de Salud Carlos III

Ministerio de Ciencia e Innovación","Final"
"Bravo, Piñero J., Queralt-Rosinach N., Rautschka M., Furlong L.I.","Extraction of relations between genes and diseases from text and large-scale data analysis: Implications for translational research",2015,70,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84931264092&doi=10.1186%2fs12859-015-0472-9&partnerID=40&md5=18425542a3ad2343d56ec3aafb72fb37","Seventh Framework Programme","Final"
"Julia Flores M., Nicholson A.E., Brunskill A., Korb K.B., Mascaro S.","Incorporating expert knowledge when learning Bayesian network structure: A medical case study",2011,69,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-80054033667&doi=10.1016%2fj.artmed.2011.08.004&partnerID=40&md5=d112a8f9a749f995d6a83ed6cc0d4ca7","Ministerio de Ciencia e Innovación

Universidad de Castilla-La Mancha

European Regional Development Fund","Final"
"Valdivia A., Luzón M.V., Herrera F.","Sentiment Analysis in TripAdvisor",2017,68,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028771482&doi=10.1109%2fMIS.2017.3121555&partnerID=40&md5=214a5e472ec540723be576c1e1741ce6","European Regional Development Fund","Final"
"Chen M., Herrera F., Hwang K.","Cognitive Computing: Architecture, Technologies and Intelligent Applications",2018,67,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041656492&doi=10.1109%2fACCESS.2018.2791469&partnerID=40&md5=732632a219e4d9a7042fe2fc2b3fd50d","National Natural Science Foundation of China

Ministerio de Ciencia y Tecnología

European Regional Development Fund","Final"
